Identifier,project_url,general_description,objectives,beneficiaries,status,notes
P-ZW-AAG-008,https://mapafrica.afdb.org/project/P-ZW-AAG-008,,,,not_found,failed to fetch page
P-EG-AAC-007,https://mapafrica.afdb.org/project/P-EG-AAC-007,,,,not_found,failed to fetch page
P-Z1-AA0-171,https://mapafrica.afdb.org/project/P-Z1-AA0-171,,,,not_found,failed to fetch page
P-CF-AA0-008,https://mapafrica.afdb.org/project/P-CF-AA0-008,,,,not_found,failed to fetch page
P-MG-AAC-004,https://mapafrica.afdb.org/project/P-MG-AAC-004,,,,not_found,failed to fetch page
P-Z1-AA0-094,https://mapafrica.afdb.org/project/P-Z1-AA0-094,,,,not_found,failed to fetch page
P-BW-AAC-004,https://mapafrica.afdb.org/project/P-BW-AAC-004,,,,not_found,failed to fetch page
P-GM-AZ0-001,https://mapafrica.afdb.org/project/P-GM-AZ0-001,,,,not_found,failed to fetch page
P-SS-AA0-002,https://mapafrica.afdb.org/project/P-SS-AA0-002,,,,not_found,failed to fetch page
P-TD-AA0-023,https://mapafrica.afdb.org/project/P-TD-AA0-023,,,,not_found,failed to fetch page
P-BJ-AA0-009,https://mapafrica.afdb.org/project/P-BJ-AA0-009,,,,not_found,failed to fetch page
P-CD-AA0-005,https://mapafrica.afdb.org/project/P-CD-AA0-005,,,,not_found,failed to fetch page
P-MG-AAB-005,https://mapafrica.afdb.org/project/P-MG-AAB-005,,,,not_found,failed to fetch page
P-CD-AAD-002,https://mapafrica.afdb.org/project/P-CD-AAD-002,,,,not_found,failed to fetch page
P-SL-AA0-007,https://mapafrica.afdb.org/project/P-SL-AA0-007,,,,not_found,failed to fetch page
P-ZM-AAE-002,https://mapafrica.afdb.org/project/P-ZM-AAE-002,,,,not_found,failed to fetch page
P-Z1-AAG-057,https://mapafrica.afdb.org/project/P-Z1-AAG-057,,,,not_found,failed to fetch page
P-Z1-AA0-095,https://mapafrica.afdb.org/project/P-Z1-AA0-095,,,,not_found,failed to fetch page
P-MW-AAC-001,https://mapafrica.afdb.org/project/P-MW-AAC-001,,,,not_found,failed to fetch page
P-SN-AAC-003,https://mapafrica.afdb.org/project/P-SN-AAC-003,,,,not_found,failed to fetch page
P-MG-A00-003,https://mapafrica.afdb.org/project/P-MG-A00-003,,,,not_found,failed to fetch page
P-TN-A00-006,https://mapafrica.afdb.org/project/P-TN-A00-006,,,,not_found,failed to fetch page
P-MA-AAZ-006,https://mapafrica.afdb.org/project/P-MA-AAZ-006,,,,not_found,failed to fetch page
P-MA-AAZ-005,https://mapafrica.afdb.org/project/P-MA-AAZ-005,,,,not_found,failed to fetch page
P-UG-AAZ-001,https://mapafrica.afdb.org/project/P-UG-AAZ-001,,,,not_found,failed to fetch page
P-MG-AAB-002,https://mapafrica.afdb.org/project/P-MG-AAB-002,,,,not_found,failed to fetch page
P-EG-AAG-010,https://mapafrica.afdb.org/project/P-EG-AAG-010,,,,not_found,failed to fetch page
P-Z1-AA0-092,https://mapafrica.afdb.org/project/P-Z1-AA0-092,,,,not_found,failed to fetch page
P-TN-AA0-007,https://mapafrica.afdb.org/project/P-TN-AA0-007,,,,not_found,failed to fetch page
P-SC-AA0-005,https://mapafrica.afdb.org/project/P-SC-AA0-005,,,,not_found,failed to fetch page
P-CI-AAA-001,https://mapafrica.afdb.org/project/P-CI-AAA-001,,,,not_found,failed to fetch page
P-Z1-AA0-093,https://mapafrica.afdb.org/project/P-Z1-AA0-093,,,,not_found,failed to fetch page
P-KE-AAZ-001,https://mapafrica.afdb.org/project/P-KE-AAZ-001,,,,not_found,failed to fetch page
P-Z1-AAE-009,https://mapafrica.afdb.org/project/P-Z1-AAE-009,,,,not_found,failed to fetch page
P-Z1-AAE-010,https://mapafrica.afdb.org/project/P-Z1-AAE-010,,,,not_found,failed to fetch page
P-TN-AAC-013,https://mapafrica.afdb.org/project/P-TN-AAC-013,,,,not_found,failed to fetch page
P-KE-AAZ-002,https://mapafrica.afdb.org/project/P-KE-AAZ-002,,,,not_found,failed to fetch page
